# Logfile created on 2020-05-11 16:51:25 +0000 by logger.rb/66358
[2020-05-11T16:51:25+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-05-11T16:51:25+00:00] INFO: *** Chef 14.14.29 ***
[2020-05-11T16:51:25+00:00] INFO: Platform: x86_64-linux
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-pages-config.erb in the cache.
[2020-05-11T16:51:26+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-health.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/puma.rb.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/rack_attack.rb.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-control-t.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-control-t.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-control-h.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-h.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
